date,team,total_wins,worldwinrate,KDA,vspm,cspm,dms,league,team_dragons_adv,firstheraldrate,barons,team_kpm,dtpm,dpm,golddiffat15,xpdiffat15,firsttower,timediff
2020-10-09T10:31:25Z,JD Gaming,5,0.5,0.273,1.149,6.769,0.2,WCS,-4,0,0,0.037,1976.119,1506.119,-1828,-649,0,-346.524
2020-10-09T10:31:25Z,PSG Talon,6,0.545,42,1.381,7.007,0.2,WCS,4,1,1,0.41,2335.075,1532.761,1828,649,1,-346.524
2020-10-09T11:23:10Z,PSG Talon,6,0.545,11.75,1.617,6.664,0.2,WCS,3,0,1,0.426,1840.753,1784.976,1639,1557,0,-347.386
2020-10-09T11:23:10Z,Rogue,1,0.167,0.923,1.401,6.331,0.2,WCS,-3,1,0,0.131,2623.47,1182.488,-1639,-1557,1,-347.386
2020-10-09T12:19:49Z,DAMWON Gaming,14,0.824,2.24,1.356,6.003,0.2,WCS,3,1,1,0.486,2998.811,1921.27,-2449,-3866,1,-348.33
2020-10-09T12:19:49Z,JD Gaming,5,0.5,4.667,1.929,6.538,0.2,WCS,-3,0,1,0.675,2723.044,2317.551,2449,3866,0,-348.33
2020-10-10T07:46:52Z,Fnatic,6,0.545,23.667,1.368,7.091,0.2,WCS,4,0,1,0.664,2221.329,2000.326,948,696,1,-367.781
2020-10-10T07:46:52Z,Team SoloMid,0,0,0.412,1.079,6.41,0.2,WCS,-4,1,0,0.117,2883.362,1272.195,-948,-696,0,-367.781
2020-10-10T08:40:02Z,Gen.G,5,0.556,3.375,1.682,6.739,0.2,WCS,1,1,1,0.553,3057.847,1871.203,2079,378,1,-368.667
2020-10-10T08:40:02Z,LGD Gaming,11,0.647,2.526,1.548,6.751,0.2,WCS,-1,0,1,0.466,2855.209,1971.416,-2079,-378,0,-368.667
2020-10-10T09:38:16Z,Gen.G,5,0.556,3.933,1.469,5.867,0.2,WCS,1,0,2,0.435,3048.123,2058.251,-1932,-2069,0,-369.638
2020-10-10T09:38:16Z,Team SoloMid,0,0,2.529,1.602,6.123,0.2,WCS,-1,1,0,0.384,3119.718,2483.345,1932,2069,1,-369.638
2020-10-10T10:41:43Z,Fnatic,6,0.545,6.444,1.435,7.51,0.2,WCS,2,1,0,0.778,2594.037,1859.611,2096,363,1,-370.695
2020-10-10T10:41:43Z,LGD Gaming,11,0.647,1.136,1.336,6.293,0.2,WCS,-2,0,0,0.318,2588.097,1471.503,-2096,-363,0,-370.695
2020-10-10T11:35:30Z,LGD Gaming,11,0.647,3.111,2.035,6.551,0.2,WCS,0,1,1,0.238,2643.498,2268.445,2340,1657,1,-371.592
2020-10-10T11:35:30Z,Team SoloMid,0,0,3.556,1.405,6.514,0.2,WCS,0,0,1,0.238,2970.928,1823.56,-2340,-1657,0,-371.592
2020-10-10T12:37:47Z,Fnatic,6,0.545,0.857,1.271,6.571,0.2,WCS,-3,0,0,0.173,2141.628,1264.496,-6570,-1635,0,-372.63
2020-10-10T12:37:47Z,Gen.G,5,0.556,7.8,1.504,7.219,0.2,WCS,3,1,1,0.605,2473.444,1609.842,6570,1635,1,-372.63
